tag,true_label,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score,split_seed
20260301_204447_w60_lp2_seed0_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,6943.206118044237,5.641697434024037,2
20260301_204447_w60_lp2_seed0_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,15611.795164717261,7.2258539556849914,2
20260301_204447_w60_lp2_seed0_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,27736.510163417104,8.35060266581919,2
20260301_204447_w60_lp2_seed0_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,62324.922881950486,9.929510694587075,2
20260301_204447_w60_lp2_seed0_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,110651.1463801348,11.041352210715875,2
20260301_204447_w60_lp2_seed0_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7601299260833522,uncertain,0,0,0,4.1470467367478205,-3.1742521448269336,2
20260301_204447_w60_lp2_seed1_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7516596956086425,uncertain,0,0,0,3.9516771922600165,-3.1808071399751663,2
20260301_204447_w60_lp2_seed1_healthy_r1,healthy,healthy,healthy,1.0,healthy,0,0,0,3.870104596060742,-3.1922417761582262,2
20260301_204447_w60_lp2_seed1_healthy_r2,healthy,healthy,healthy,0.998038825286212,healthy,0,0,0,3.970223491495485,-3.1392347687831608,2
20260301_204447_w60_lp2_seed1_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,283.5283665614604,-0.15643871102461493,2
